USER_ID,ORDER_ID,PURCHASE_TS,PURCHASE_TS_CLEANED,SHIP_TS,PURCHASE_YEAR,PURCHASE_MONTH,TIME_TO_SHIP,PRODUCT_NAME,PRODUCT_NAME_CLEANED,PRODUCT_ID,USD_PRICE,PURCHASE_PLATFORM,MARKETING_CHANNEL,MARKETING_CHANNEL_CLEANED,ACCOUNT_CREATION_METHOD,ACCOUNT_CREATION_METHOD_CLEANED,COUNTRY_CODE,REGION
2c06175e,0001328c3c220830,12/24/2020,12/24/2020,12/13/2020,2020,12,-11,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,affiliate,affiliate,unknown,unknown,US,NA
ee8e5bc2,0002af7a5c6100772,10/1/2020,10/1/2020,9/21/2020,2020,10,-10,Nintendo Switch,Nintendo Switch,e682,$160.61 ,website,direct,direct,desktop,desktop,DE,EMEA
9eb4efe0,0002b8350e167074,4/21/2020,4/21/2020,2/16/2020,2020,4,-65,Nintendo Switch,Nintendo Switch,8d0d,$151.20 ,website,direct,direct,desktop,desktop,US,NA
cac7cbaf,0006d06b98385729,4/7/2020,4/7/2020,4/4/2020,2020,4,-3,Sony PlayStation 5 Bundle,Sony PlayStation 5 Bundle,54ed,"$1,132.82 ",website,direct,direct,desktop,desktop,AU,APAC
6b0230bc,00097279a2f46150,11/24/2020,11/24/2020,8/2/2020,2020,11,-114,Nintendo Switch,Nintendo Switch,8d0d,$33.89 ,website,direct,direct,desktop,desktop,TR,EMEA
046e7528,000f169e17f4941,8/20/2020,8/20/2020,8/9/2020,2020,8,-11,Nintendo Switch,Nintendo Switch,8d0d,$168.00 ,website,direct,direct,desktop,desktop,PH,APAC
94dfec76,000fdd9bfe463101,5/11/2020,5/11/2020,3/5/2020,2020,5,-67,27in 4K gaming monitor,27in 4K gaming monitor,891b,$390.59 ,website,direct,direct,desktop,desktop,GB,EMEA
8a328a1d,0010d31e3c058676,7/3/2020,7/3/2020,4/3/2020,2020,7,-91,27in 4K gaming monitor,27in 4K gaming monitor,891b,$480.00 ,website,direct,direct,desktop,desktop,BR,LATAM
46c57b58,0013ac51a8831707,3/24/2019,3/24/2019,10/29/2018,2019,3,-146,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$22.22 ,website,direct,direct,desktop,desktop,BE,EMEA
a2eaa1d1,001620ea42468912,11/1/2019,11/1/2019,10/17/2019,2019,11,-15,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,US,NA
c7c492f8,0016654fc8584512,12/9/2019,12/9/2019,7/22/2019,2019,12,-140,Nintendo Switch,Nintendo Switch,8d0d,$150.53 ,website,direct,direct,desktop,desktop,FR,EMEA
d71c06c6,00236994a0b90874,8/30/2019,8/30/2019,6/29/2019,2019,8,-62,Nintendo Switch,Nintendo Switch,8d0d,$146.25 ,website,direct,direct,desktop,desktop,KR,APAC
9933b602,002a0b04dd764807,2/16/2020,2/16/2020,12/8/2019,2020,2,-70,Sony PlayStation 5 Bundle,Sony PlayStation 5 Bundle,54ed,"$1,725.86 ",website,direct,direct,desktop,desktop,US,NA
bbbaa7ff,002f0b22bb379479,5/14/2020,5/14/2020,3/24/2020,2020,5,-51,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,US,NA
68673786,003ed9bd3d71799,10/26/2020,10/26/2020,6/1/2020,2020,10,-147,Nintendo Switch,Nintendo Switch,8d0d,$134.41 ,website,direct,direct,desktop,desktop,ES,EMEA
1802f1a0,004602d9c2d12771,10/13/2020,10/13/2020,8/30/2020,2020,10,-44,Sony PlayStation 5 Bundle,Sony PlayStation 5 Bundle,54ed,"$1,368.45 ",website,direct,direct,desktop,desktop,AU,APAC
2abdb1d2,004d6bc82f820293,10/25/2020,10/25/2020,8/1/2020,2020,10,-85,27in 4K gaming monitor,27in 4K gaming monitor,e7e6,$480.00 ,website,direct,direct,desktop,desktop,US,NA
deba2f70,004eca8109c94135,12/24/2019,12/24/2019,9/11/2019,2019,12,-104,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,US,NA
d9f8bd41,0053e1f565292085,5/20/2019,5/20/2019,4/9/2019,2019,5,-41,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,direct,direct,desktop,desktop,US,NA
d37ef9f9,006116b394689293,12/23/2020,12/23/2020,8/29/2020,2020,12,-116,27in 4K gaming monitor,27in 4K gaming monitor,891b,$312.00 ,website,direct,direct,desktop,desktop,US,NA
1962fd4e,00617fd9ac813297,3/23/2019,3/23/2019,3/8/2019,2019,3,-15,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$19.20 ,website,direct,direct,desktop,desktop,US,NA
6ee318a8,0064a61f5e347824,12/6/2020,12/6/2020,8/30/2020,2020,12,-98,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,2997,$24.00 ,mobile app,direct,direct,desktop,desktop,US,NA
0d688544,006b12955f18514,4/1/2020,4/1/2020,11/29/2019,2020,4,-124,27in 4K gaming monitor,27in 4K gaming monitor,891b,$480.00 ,website,direct,direct,desktop,desktop,UA,EMEA
eb7713b2,006e82641e899478,9/6/2020,9/6/2020,5/8/2020,2020,9,-121,Nintendo Switch,Nintendo Switch,8d0d,$158.90 ,website,direct,direct,desktop,desktop,AT,EMEA
fbe55d88,006f6e37919106394,6/25/2020,6/25/2020,6/10/2020,2020,6,-15,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$21.46 ,website,direct,direct,desktop,desktop,FR,EMEA
44b1b815,00740cb808130885,9/18/2020,9/18/2020,4/24/2020,2020,9,-147,Nintendo Switch,Nintendo Switch,b5f7,$113.84 ,mobile app,direct,direct,desktop,desktop,IN,APAC
4f91bdc5,0076d16bf5a35309,5/7/2020,5/7/2020,2/2/2020,2020,5,-95,Nintendo Switch,Nintendo Switch,8e5d,$166.44 ,mobile app,email,email,mobile,mobile,AU,APAC
7aaa16c9,0077b0c58a652405,10/24/2020,10/24/2020,9/20/2020,2020,10,-34,27in 4K gaming monitor,27in 4K gaming monitor,891b,$480.00 ,website,direct,direct,desktop,desktop,US,NA
fab63d82,0078e0a047f105931,6/15/2020,6/15/2020,2/7/2020,2020,6,-129,27in 4K gaming monitor,27in 4K gaming monitor,891b,$391.40 ,website,direct,direct,desktop,desktop,US,NA
6967b8ad,007d7cc247b45508,12/23/2020,12/23/2020,10/31/2020,2020,12,-53,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,US,NA
0548e915,007de4bffd25269,8/26/2019,8/26/2019,8/8/2019,2019,8,-18,Nintendo Switch,Nintendo Switch,8d0d,$149.42 ,website,direct,direct,desktop,desktop,FR,EMEA
08c6e99f,007ecf8f7136611,11/3/2019,11/3/2019,10/13/2019,2019,11,-21,27in 4K gaming monitor,27in 4K gaming monitor,891b,$480.00 ,website,direct,direct,desktop,desktop,US,NA
9ac1cd5e,0080c27c2f965438,5/23/2019,5/23/2019,2/14/2019,2019,5,-98,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,direct,direct,desktop,desktop,US,NA
57f26b8e,00812c6619a38526,6/11/2019,6/11/2019,3/2/2019,2019,6,-101,27in 4K gaming monitor,27in 4K gaming monitor,891b,$357.14 ,website,direct,direct,desktop,desktop,DE,EMEA
